Increased_Work_Hours,Work_From_Home,Hours_Worked_Per_Day,Meetings_Per_Day,Productivity_Change,Stress_Level,Health_Issue,Job_Security,Childcare_Responsibilities,Commuting_Changes,Technology_Adaptation,Salary_Changes,Team_Collaboration_Challenges,Sector,Affected_by_Covid
1,1,6.392393639805828,2.6845944014488783,1,Low,0,0,1,1,1,0,1,Retail,1
1,1,9.171983537957564,3.3392245834602816,1,Low,0,1,0,1,1,0,1,IT,1
1,0,10.612560951456405,2.218332712302113,0,Medium,0,0,0,0,0,0,0,Retail,1
1,1,5.546168647409519,5.150566193312915,0,Medium,0,0,0,1,0,0,0,Education,1
0,1,11.424615456733845,3.1211255258841275,1,Medium,0,1,1,1,0,1,1,Education,1
1,1,7.742897931229741,-0.5829769194792656,1,Low,1,0,1,1,1,0,1,IT,1
0,0,6.049957230122971,7.695663547494895,0,Medium,0,0,1,0,1,0,1,IT,1
1,1,9.515509560416367,3.144098292267527,0,High,1,0,0,1,1,0,1,Healthcare,1
1,1,7.107091043489904,3.1351136117712857,0,Medium,1,1,0,0,0,0,1,Education,1
1,1,7.836526647937012,6.50741753899055,0,High,1,0,1,1,1,0,1,Education,1
0,1,7.191443511575843,2.1876228238037267,0,Medium,0,0,1,1,1,0,1,IT,1
0,1,6.3665241362702,5.70490882979975,0,Medium,0,0,0,0,1,0,1,Education,1
1,1,9.447994064803808,3.1188363348639676,1,Medium,0,0,0,1,1,1,1,Healthcare,1
0,1,7.4273971942116255,2.014306833104712,1,Medium,1,0,1,1,1,0,1,Retail,1
0,1,5.126696415641508,6.558576642067204,1,Medium,0,0,0,0,0,0,1,IT,1
0,0,9.102120248431866,5.384645420593791,1,High,0,1,0,0,0,0,1,Healthcare,1
1,0,5.588835297952489,5.380001476772565,0,Medium,0,0,1,1,0,1,1,IT,1
1,1,5.693479654649483,4.551483320183162,0,Medium,0,0,1,1,0,0,1,Healthcare,1
1,0,10.385212409954633,4.89865244961652,1,High,1,0,0,1,1,0,1,Retail,1
0,1,5.607320201579576,2.1517629628779353,1,High,0,0,0,0,0,0,1,Healthcare,1
1,0,3.367110286145019,4.167416285866991,1,Medium,0,0,1,0,0,1,1,Healthcare,1
0,0,9.24572296992299,2.6068554993237325,0,Low,0,0,0,1,0,0,1,Education,1
0,1,7.392273141037739,1.916589221405418,0,High,0,1,1,1,0,1,0,Healthcare,1
1,0,7.564689757723767,4.616429996062047,0,Medium,0,0,0,0,1,1,0,IT,1
1,1,7.3709992132996,5.7372243334893165,0,Medium,0,0,0,1,1,0,0,IT,1
1,0,8.463339878037454,3.4249467636579043,0,High,1,0,1,0,1,1,1,Education,1
0,1,6.494561516193864,3.681980661498187,1,High,1,0,0,1,0,0,1,Education,1
1,1,10.95222974913153,2.29277403237544,0,Medium,0,1,0,0,1,0,1,Education,1
